au,description,landmarks
0,Neutral face,
1,Inner brow raiser,"55,65,66,107,8,9,285,336"
2,Outer brow raiser,"46,70,53,63,283,293,276,300"
4,Brow lowerer,"156,70,63,105,66,107,55,193,35,124,46,53,52,65,383,300,293,334,296,336,285,417,265,353,276,283,282,295"
5,Upper lid raiser,"61,185,40,39,37,0,267,269,270,409,291,78,191,80,81,82,13,312,311,310,415,308"
6,Cheek raiser,"205,425"
7,Lid tightener,"246,161,160,159,158,157,173,33,7,163,144,145,153,154,155,133,466,388,387,386,385,384,398,263,249,390,373,374,380,381,382,362"
8,Lips toward each other,"61,185,40,39,37,0,267,269,270,409,291,146,91,181,84,17,314,405,321,375,291,78,191,80,81,82,13,312,311,310,415,308,78,95,88,178,87,14,317,402,318,324,308"
9,Nose wrinkler,"1,2,98,327"
10,Upper lip raiser,"61,185,40,39,37,0,267,269,270,409,291,78,191,80,81,82,13,312,311,310,415,308"
11,Nasolabial deepener,"1,2,98,327,61,185,40,39,37,0,267,269,270,409,291,78,191,80,81,82,13,312,311,310,415,308"
12,Lip corner puller,"61,185,40,39,37,0,267,269,270,409,291,146,91,181,84,17,314,405,321,375,291"
13,Sharp lip puller,"61,185,40,39,37,0,267,269,270,409,291,146,91,181,84,17,314,405,321,375,291"
14,Dimpler,"61,185,40,39,37,0,267,269,270,409,291,146,91,181,84,17,314,405,321,375,291"
15,Lip corner depressor,"61,185,40,39,37,0,267,269,270,409,291"
16,Lower lip depressor,"146,91,181,84,17,314,405,321,375,291,78,95,88,178,87,14,317,402,318,324,308"
17,Chin raiser,200
18,Lip pucker,"61,185,40,39,37,0,267,269,270,409,291,146,91,181,84,17,314,405,321,375,291,78,191,80,81,82,13,312,311,310,415,308,78,95,88,178,87,14,317,402,318,324,308"
19,Tongue show,14
20,Lip stretcher,"61,185,40,39,37,0,267,269,270,409,291,146,91,181,84,17,314,405,321,375,291,78,191,80,81,82,13,312,311,310,415,308,78,95,88,178,87,14,317,402,318,324,308"
21,Neck tightener,
22,Lip funneler,"61,185,40,39,37,0,267,269,270,409,291,146,91,181,84,17,314,405,321,375,291,78,191,80,81,82,13,312,311,310,415,308,78,95,88,178,87,14,317,402,318,324,308"
23,Lip tightener,"61,185,40,39,37,0,267,269,270,409,291,146,91,181,84,17,314,405,321,375,291,78,191,80,81,82,13,312,311,310,415,308,78,95,88,178,87,14,317,402,318,324,308"
24,Lip pressor,"61,185,40,39,37,0,267,269,270,409,291,146,91,181,84,17,314,405,321,375,291,78,191,80,81,82,13,312,311,310,415,308,78,95,88,178,87,14,317,402,318,324,308"
25,Lips part,"61,185,40,39,37,0,267,269,270,409,291,146,91,181,84,17,314,405,321,375,291,78,191,80,81,82,13,312,311,310,415,308,78,95,88,178,87,14,317,402,318,324,308"
26,Jaw drop,"170,175,395"
27,Mouth stretch,"61,185,40,39,37,0,267,269,270,409,291,146,91,181,84,17,314,405,321,375,291,78,191,80,81,82,13,312,311,310,415,308,78,95,88,178,87,14,317,402,318,324,308"
28,Lip suck,"61,185,40,39,37,0,267,269,270,409,291,146,91,181,84,17,314,405,321,375,291,78,191,80,81,82,13,312,311,310,415,308,78,95,88,178,87,14,317,402,318,324,308"
29,Jaw thrust,"170,175,395"
30,Jaw sideways,"170,175,395"
31,Jaw clencher,"170,175,395"
32,Lip bite,"61,185,40,39,37,0,267,269,270,409,291,146,91,181,84,17,314,405,321,375,291,78,191,80,81,82,13,312,311,310,415,308,78,95,88,178,87,14,317,402,318,324,308"
33,Cheek blow,"205,425"
34,Cheek puff,"205,425"
35,Cheek suck,"205,425"
36,Tongue bulge,14
37,Lip wipe,14
38,Nostril dilator,"98,327"
39,Nostril compressor,"98,327"
40,Sniff,"98,327"
41,Lid droop,"246,161,160,159,158,157,173,466,388,387,386,385,384,398"
42,Slit,"246,161,160,159,158,157,173,466,388,387,386,385,384,398"
43,Eyes closed,"246,161,160,159,158,157,173,466,388,387,386,385,384,398,33,7,163,144,145,153,154,155,133,263,249,390,373,374,380,381,382,362"
44,Squint,"246,161,160,159,158,157,173,466,388,387,386,385,384,398,33,7,163,144,145,153,154,155,133,263,249,390,373,374,380,381,382,362"
45,Blink,"246,161,160,159,158,157,173,466,388,387,386,385,384,398,33,7,163,144,145,153,154,155,133,263,249,390,373,374,380,381,382,362"
46,Wink,"246,161,160,159,158,157,173,466,388,387,386,385,384,398,33,7,163,144,145,153,154,155,133,263,249,390,373,374,380,381,382,362"
50,Speech,"61,185,40,39,37,0,267,269,270,409,291,146,91,181,84,17,314,405,321,375,291,78,191,80,81,82,13,312,311,310,415,308,78,95,88,178,87,14,317,402,318,324,308"
51,Head turn left,"10,338,297,332,284,251,389,356,454,323,361,288,397,365,379,378,400,377,152,148,176,149,150,136,172,58,132,93,234,127,162,21,54,103,67,109"
52,Head turn right,"10,338,297,332,284,251,389,356,454,323,361,288,397,365,379,378,400,377,152,148,176,149,150,136,172,58,132,93,234,127,162,21,54,103,67,109"
53,Head up,"10,338,297,332,284,251,389,356,454,323,361,288,397,365,379,378,400,377,152,148,176,149,150,136,172,58,132,93,234,127,162,21,54,103,67,109"
54,Head down,"10,338,297,332,284,251,389,356,454,323,361,288,397,365,379,378,400,377,152,148,176,149,150,136,172,58,132,93,234,127,162,21,54,103,67,109"
55,Head tilt left,"10,338,297,332,284,251,389,356,454,323,361,288,397,365,379,378,400,377,152,148,176,149,150,136,172,58,132,93,234,127,162,21,54,103,67,109"
56,Head tilt right,"10,338,297,332,284,251,389,356,454,323,361,288,397,365,379,378,400,377,152,148,176,149,150,136,172,58,132,93,234,127,162,21,54,103,67,109"
57,Head forward,"10,338,297,332,284,251,389,356,454,323,361,288,397,365,379,378,400,377,152,148,176,149,150,136,172,58,132,93,234,127,162,21,54,103,67,109"
58,Head back,"10,338,297,332,284,251,389,356,454,323,361,288,397,365,379,378,400,377,152,148,176,149,150,136,172,58,132,93,234,127,162,21,54,103,67,109"
59,Head shake up and down,"10,338,297,332,284,251,389,356,454,323,361,288,397,365,379,378,400,377,152,148,176,149,150,136,172,58,132,93,234,127,162,21,54,103,67,109"
60,Head shake side to side,"10,338,297,332,284,251,389,356,454,323,361,288,397,365,379,378,400,377,152,148,176,149,150,136,172,58,132,93,234,127,162,21,54,103,67,109"
61,Eyes turn left,"473,474,475,476,477,468,469,470,471,472"
62,Eyes turn right,"473,474,475,476,477,468,469,470,471,472"
63,Eyes up,"473,474,475,476,477,468,469,470,471,472"
64,Eyes down,"473,474,475,476,477,468,469,470,471,472"
65,Walleye,"473,474,475,476,477,468,469,470,471,472"
66,Cross-eye,"473,474,475,476,477,468,469,470,471,472"
68,Upward rolling of eyes,"473,474,475,476,477,468,469,470,471,472"
69,Head or eyes look at other person,"473,474,475,476,477,468,469,470,471,472,10,338,297,332,284,251,389,356,454,323,361,288,397,365,379,378,400,377,152,148,176,149,150,136,172,58,132,93,234,127,162,21,54,103,67,109"
70,Brows and forehead not visible,
71,Eyes not visible,
72,Lower face not visible,
73,Entire face not visible,
74,Unscorable,
80,Swallow,"61,185,40,39,37,0,267,269,270,409,291,146,91,181,84,17,314,405,321,375,291,78,191,80,81,82,13,312,311,310,415,308,78,95,88,178,87,14,317,402,318,324,308"
81,Chewing,"61,185,40,39,37,0,267,269,270,409,291,146,91,181,84,17,314,405,321,375,291,78,191,80,81,82,13,312,311,310,415,308,78,95,88,178,87,14,317,402,318,324,308"
82,Shoulder shrug,
83,Head upward and to the side,"10,338,297,332,284,251,389,356,454,323,361,288,397,365,379,378,400,377,152,148,176,149,150,136,172,58,132,93,234,127,162,21,54,103,67,109"
84,Head shake back and forth,"10,338,297,332,284,251,389,356,454,323,361,288,397,365,379,378,400,377,152,148,176,149,150,136,172,58,132,93,234,127,162,21,54,103,67,109"
85,Head nod up and down,"10,338,297,332,284,251,389,356,454,323,361,288,397,365,379,378,400,377,152,148,176,149,150,136,172,58,132,93,234,127,162,21,54,103,67,109"
91,Flash,
92,Partial flash,
97,Shiver/tremble,
98,Fast up-down look,"473,474,475,476,477,468,469,470,471,472,10,338,297,332,284,251,389,356,454,323,361,288,397,365,379,378,400,377,152,148,176,149,150,136,172,58,132,93,234,127,162,21,54,103,67,109"
